category,rank,name,location,imageurl,description,latitude,longitude,ratingurl
restaurants,1,The Old Stamp House Restaurant,"Ambleside, United Kingdom",https://media-cdn.tripadvisor.com/media/photo-s/05/68/f3/09/food-inspired-by-cumbria.jpg,All the staff want you to enjoy every moment of every course. Knowledge and love of food and where and how it is sourced. And you will enjoy every mouthful.,54.431954,-2.9630528,/Restaurant_Review-g186319-d1209702-Reviews-The_Old_Stamp_House_Restaurant-Ambleside_Lake_District_Cumbria_England.html
restaurants,2,Oro Restaurante,"Rio de Janeiro, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/1d/55/0b/f6/caption.jpg,"Amazing tasting menu, with unique combinations of flavors and very creative presentation. They make drinks based on your preferences, which is fun. A place for a long, lingering, expensive meal.",-22.9110137,-43.2093727,/Restaurant_Review-g303506-d10551429-Reviews-Oro_Restaurante-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html
restaurants,3,Madonnina del Pescatore,"Senigallia, Italy",https://media-cdn.tripadvisor.com/media/photo-s/08/c9/bb/71/madonnina-del-pescatore.jpg,"Beautiful location, amazing food and wine, pure theatre. The level of service, the quality of the food, the artistry and imagination make this an unforgettable experience. A joyous afternoon.",43.7149517,13.2179488,/Restaurant_Review-g194914-d1011774-Reviews-Madonnina_del_Pescatore-Senigallia_Province_of_Ancona_Marche.html
restaurants,4,Martin Berasategui,"Lasarte-Oria, Spain",https://media-cdn.tripadvisor.com/media/photo-s/18/f0/37/95/photo3jpg.jpg,The best combinations of flavors we have ever experienced. The meal was culinary poetry.,43.2684642,-2.0193784,/Restaurant_Review-g1078423-d948529-Reviews-Martin_Berasategui-Lasarte_Oria_Province_of_Guipuzcoa_Basque_Country.html
restaurants,5,El Xato,"La Nucia, Spain",https://media-cdn.tripadvisor.com/media/photo-s/0f/0f/9e/a4/esferico-de-aceitunas.jpg,"Fantastic food, great wine, wonderful service. The food was beautiful and thoughtful in presentation. Every dish showcased the ingredients brilliantly and every mouthful was delicious.",38.6133727,-0.1257319,/Restaurant_Review-g1064365-d2002147-Reviews-El_Xato-La_Nucia_Province_of_Alicante_Valencian_Country.html
restaurants,6,Ristorante Villa Crespi,"Orta San Giulio, Italy",https://media-cdn.tripadvisor.com/media/photo-s/14/00/0b/73/antonino-cannavacciuolo.jpg,"Peerless from start to finish. What could have been an intimidating experience was rendered warm, engaging and friendly by the terrific team.",45.7980814,8.406951,/Restaurant_Review-g187854-d1060675-Reviews-Ristorante_Villa_Crespi-Orta_San_Giulio_Province_of_Novara_Piedmont.html
restaurants,7,Guillaume Scheer - Les Plaisirs Gourmands,"Schiltigheim, France",https://media-cdn.tripadvisor.com/media/photo-s/1b/38/46/c4/saumon-marine.jpg,"The name of the restaurant says it all: pure pleasure, from the fabulous, well presented and tasteful dishes to the wine selection and discreet though friendly service.",48.6047148,7.7484488,/Restaurant_Review-g1079304-d3412194-Reviews-Guillaume_Scheer_Les_Plaisirs_Gourmands-Schiltigheim_Strasbourg_Bas_Rhin_Grand_E.html
restaurants,8,Sachi Heliopolis,"Cairo, Egypt",https://media-cdn.tripadvisor.com/media/photo-s/21/b8/e0/49/you-had-us-at-sushi.jpg,"Lovely elegant restaurant in Heliopolis with calm, stylish dark interiors and fabulous service. Each dish was better than the last.",30.0443879,31.2357257,/Restaurant_Review-g294201-d7681557-Reviews-Sachi_Heliopolis-Cairo_Cairo_Governorate.html
restaurants,9,Auberge Du Vieux Puits,"Fontjoncouse, France",https://media-cdn.tripadvisor.com/media/photo-w/17/64/93/66/mandarine-en-sorbet-peau.jpg,"Truly a dream. From local ingredients, the chef conjures up aromas, textures and flavors you've never experienced. The stuff of legend. WOW!",43.0485,2.78809,/Restaurant_Review-g674102-d794269-Reviews-Auberge_Du_Vieux_Puits-Fontjoncouse_Aude_Occitanie.html
restaurants,10,Paul Ainsworth at No,"Padstow, United Kingdom",https://media-cdn.tripadvisor.com/media/photo-s/1b/1a/33/da/cici-s-bar.jpg,Simply outstanding. The inventiveness of the food and the depth of flavours and textures were amazing. Everything was just delicious.,50.5403819,-4.9369874,/Restaurant_Review-g315948-d731121-Reviews-Paul_Ainsworth_at_No_6-Padstow_Cornwall_England.html
